ph_model,nhid,layers,ptdecay,ftdecay,cv_acc,tr_acc
mono,500,7,0.001,0.0005,62.40,73.12
mono,500,7,0.001,0.001,62.41,73.05
mono,500,7,0.001,0.005,62.61,72.49
mono,500,7,0.001,0.01,63.11,72.33
mono,500,7,0.001,0.05,62.00,67.39
mono,500,7,0.001,0.1,60.67,64.72
mono,500,7,0.0001,0.0001,62.19,73.20
mono,500,7,0.0001,0.0005,62.54,74.36
mono,500,7,0.0001,0.001,62.31,73.07
mono,500,7,0.0001,0.005,62.81,73.06
mono,500,7,0.0001,0.01,62.76,71.76
mono,500,7,0.0001,0.05,62.53,67.97
mono,500,7,0.0001,0.1,60.72,64.71
mono,500,7,0.01,0.0001,62.54,74.22
mono,500,7,0.01,0.0005,62.55,74.17
mono,500,7,0.01,0.001,62.52,73.21
mono,500,7,0.01,0.005,62.63,72.11
mono,500,7,0.01,0.01,62.68,71.52
mono,500,7,0.01,0.05,62.09,67.55
mono,500,7,0.01,0.1,61.00,64.83
mono,500,8,0.001,0.0001,62.52,74.18
mono,500,8,0.001,0.0005,62.52,74.13
mono,500,8,0.001,0.001,62.55,74.04
mono,500,8,0.001,0.005,62.90,73.44
mono,500,8,0.001,0.01,62.86,72.56
mono,500,8,0.001,0.05,61.78,67.30
mono,500,8,0.001,0.1,61.11,65.24
mono,500,8,0.0001,0.0001,62.05,74.25
mono,500,8,0.0001,0.0005,62.09,74.19
mono,500,8,0.0001,0.001,62.36,74.70
mono,500,8,0.0001,0.005,62.81,73.43
mono,500,8,0.0001,0.01,63.02,72.67
mono,500,8,0.0001,0.05,61.74,67.30
mono,500,8,0.0001,0.1,61.15,65.14
mono,500,8,0.01,0.0001,62.49,73.32
mono,500,8,0.01,0.0005,62.46,72.96
mono,500,8,0.01,0.001,ERROR,ERROR
mono,500,8,0.01,0.005,62.78,73.56
mono,500,8,0.01,0.01,62.95,73.06
mono,500,8,0.01,0.05,61.94,67.63
mono,500,8,0.01,0.1,60.93,65.00
mono,500,9,0.001,0.0001,62.35,74.34
mono,500,9,0.001,0.0005,62.17,73.38
mono,500,9,0.001,0.001,62.27,73.32
mono,500,9,0.001,0.005,62.50,73.70
mono,500,9,0.001,0.01,62.71,72.04
mono,500,9,0.001,0.05,62.46,68.41
mono,500,9,0.001,0.1,61.18,65.68
mono,500,9,0.0001,0.0001,62.04,74.65
mono,500,9,0.0001,0.0005,62.38,75.20
mono,500,9,0.0001,0.001,62.43,75.11
mono,500,9,0.0001,0.005,62.54,73.75
mono,500,9,0.0001,0.01,62.75,71.86
mono,500,9,0.0001,0.05,62.29,68.14
mono,500,9,0.0001,0.1,61.02,65.50
mono,500,9,0.01,0.0001,62.28,73.21
mono,500,9,0.01,0.0005,62.38,73.17
mono,500,9,0.01,0.001,62.44,73.11
mono,500,9,0.01,0.005,62.65,72.61
mono,500,9,0.01,0.01,62.47,70.87
mono,500,9,0.01,0.05,62.28,68.08
mono,500,9,0.01,0.1,61.17,65.76
mono,500,10,0.001,0.0001,62.23,73.66
mono,500,10,0.001,0.0005,62.24,73.61
mono,500,10,0.001,0.001,62.39,73.93
mono,500,10,0.001,0.005,62.48,73.01
mono,500,10,0.001,0.01,62.51,71.86
mono,500,10,0.001,0.05,61.84,68.24
mono,500,10,0.001,0.1,61.29,65.72
mono,500,10,0.0001,0.0001,62.08,73.68
mono,500,10,0.0001,0.0005,62.11,73.63
mono,500,10,0.0001,0.001,62.34,73.97
mono,500,10,0.0001,0.005,62.30,73.05
mono,500,10,0.0001,0.01,62.43,71.90
mono,500,10,0.0001,0.05,62.41,68.65
mono,500,10,0.0001,0.1,61.34,65.86
mono,500,10,0.01,0.0001,62.31,73.31
mono,500,10,0.01,0.0005,62.38,73.27
mono,500,10,0.01,0.001,62.39,73.20
mono,500,10,0.01,0.005,62.56,72.72
mono,500,10,0.01,0.01,ERROR,ERROR
mono,500,10,0.01,0.05,61.33,67.21
mono,500,10,0.01,0.1,61.22,65.68
mono,500,16,0.001,0.0001,61.56,74.20
mono,500,16,0.001,0.0005,61.62,74.18
mono,500,16,0.001,0.001,61.68,74.14
mono,500,16,0.001,0.005,61.22,74.28
mono,500,16,0.001,0.01,62.32,74.17
mono,500,16,0.001,0.05,62.02,69.87
mono,500,16,0.001,0.1,61.20,66.02
mono,500,16,0.01,0.0001,62.02,74.02
mono,500,16,0.01,0.001,61.48,72.29
mono,1000,1,0.001,0.0001,60.09,72.26
mono,1000,1,0.001,0.0005,60.14,72.25
mono,1000,1,0.001,0.001,60.17,72.25
mono,1000,1,0.001,0.005,60.49,72.75
mono,1000,1,0.001,0.01,61.03,72.06
mono,1000,1,0.001,0.05,62.83,70.04
mono,1000,1,0.001,0.1,62.20,67.15
mono,1000,2,0.001,0.0001,61.84,73.60
mono,1000,2,0.001,0.0005,61.90,73.58
mono,1000,2,0.001,0.001,61.96,73.55
mono,1000,2,0.001,0.005,62.37,73.35
mono,1000,2,0.001,0.01,62.83,73.53
mono,1000,2,0.001,0.05,63.26,68.91
mono,1000,2,0.001,0.1,62.21,66.07
mono,1000,4,0.001,0.0001,62.58,75.33
mono,1000,4,0.001,0.0005,62.63,75.29
mono,1000,4,0.001,0.001,62.62,75.23
mono,1000,4,0.001,0.005,62.92,74.54
mono,1000,4,0.001,0.01,ERROR,ERROR
mono,1000,4,0.001,0.05,63.50,70.38
mono,1000,4,0.001,0.1,61.52,65.91
mono,1000,8,0.001,0.0001,62.47,79.61
mono,1000,8,0.001,0.0005,62.51,79.55
mono,1000,8,0.001,0.001,62.50,79.43
mono,1000,8,0.001,0.005,62.85,78.55
mono,1000,8,0.001,0.01,63.11,77.52
mono,1000,8,0.001,0.05,62.77,71.15
mono,1000,8,0.001,0.1,62.38,68.26
mono,1000,10,0.001,0.0001,62.02,80.65
mono,1000,10,0.001,0.001,62.06,80.46
mono,1000,10,0.001,0.01,62.72,77.08
