ph_model,nhid,ctxt,layers,ptdecay,ftdecay,ins_pl,decode_acc
mono,500,6,3,0.001,0.002,0.0,68.38
mono,500,6,3,0.001,0.002,-2.0,69.21
mono,500,6,3,0.001,0.002,-1.0,68.87
mono,500,6,3,0.001,0.002,-4.0,69.67
mono,500,6,3,0.001,0.002,-8.0,68.61
mono,500,6,3,0.001,0.002,-16.0,64.99
mono,500,6,3,0.001,0.003,0.0,67.62
mono,500,6,3,0.001,0.003,-2.0,68.84
mono,500,6,3,0.001,0.003,-1.0,68.38
mono,500,6,3,0.001,0.003,-4.0,69.41
mono,500,6,3,0.001,0.003,-8.0,68.55
mono,500,6,3,0.001,0.003,-16.0,64.82
mono,500,6,3,0.001,0.01,0.0,68.33
mono,500,6,3,0.001,0.01,-2.0,69.33
mono,500,6,3,0.001,0.01,-1.0,69.07
mono,500,6,3,0.001,0.01,-4.0,69.67
mono,500,6,3,0.001,0.01,-8.0,68.82
mono,500,6,3,0.001,0.01,-16.0,64.44
mono,500,6,3,0.001,0.00001,0.0,67.67
mono,500,6,3,0.001,0.00001,-2.0,68.62
mono,500,6,3,0.001,0.00001,-1.0,68.24
mono,500,6,3,0.001,0.00001,-4.0,68.81
mono,500,6,3,0.001,0.00001,-8.0,68.28
mono,500,6,3,0.001,0.00001,-16.0,64.36
mono,500,6,3,0.001,0.1,0.0,66.21
mono,500,6,3,0.001,0.1,-2.0,67.51
mono,500,6,3,0.001,0.1,-1.0,67.11
mono,500,6,3,0.001,0.1,-4.0,67.34
mono,500,6,3,0.001,0.1,-8.0,65.19
mono,500,6,3,0.001,0.1,-16.0,59.60
mono,500,6,3,0.001,0.0001,0.0,68.47
mono,500,6,3,0.001,0.0001,-2.0,69.38
mono,500,6,3,0.001,0.0001,-1.0,69.06
mono,500,6,3,0.001,0.0001,-4.0,69.24
mono,500,6,3,0.001,0.0001,-8.0,68.41
mono,500,6,3,0.001,0.0001,-16.0,64.33
mono,500,6,5,0.001,0.001,0.0,69.09
mono,500,6,5,0.001,0.001,-2.0,70.03
mono,500,6,5,0.001,0.001,-1.0,69.84
mono,500,6,5,0.001,0.001,-4.0,70.25
mono,500,6,5,0.001,0.001,-8.0,69.74
mono,500,6,5,0.001,0.001,-16.0,66.04
mono,500,6,5,0.001,0.002,0.0,69.13
mono,500,6,5,0.001,0.002,-2.0,69.92
mono,500,6,5,0.001,0.002,-1.0,69.84
mono,500,6,5,0.001,0.002,-4.0,70.26
mono,500,6,5,0.001,0.002,-8.0,69.57
mono,500,6,5,0.001,0.002,-16.0,66.01
mono,500,6,5,0.001,0.003,0.0,69.26
mono,500,6,5,0.001,0.003,-2.0,70.09
mono,500,6,5,0.001,0.003,-1.0,69.84
mono,500,6,5,0.001,0.003,-4.0,70.35
mono,500,6,5,0.001,0.003,-8.0,69.75
mono,500,6,5,0.001,0.003,-16.0,65.97
mono,500,6,5,0.001,0.01,0.0,69.30
mono,500,6,5,0.001,0.01,-2.0,69.72
mono,500,6,5,0.001,0.01,-1.0,69.60
mono,500,6,5,0.001,0.01,-4.0,69.98
mono,500,6,5,0.001,0.01,-8.0,69.20
mono,500,6,5,0.001,0.01,-16.0,65.38
mono,500,6,5,0.001,0.00001,0.0,69.10
mono,500,6,5,0.001,0.00001,-2.0,70.01
mono,500,6,5,0.001,0.00001,-1.0,69.83
mono,500,6,5,0.001,0.00001,-4.0,70.29
mono,500,6,5,0.001,0.00001,-8.0,69.61
mono,500,6,5,0.001,0.00001,-16.0,66.14
mono,500,6,5,0.001,0.1,0.0,67.16
mono,500,6,5,0.001,0.1,-2.0,67.94
mono,500,6,5,0.001,0.1,-1.0,67.80
mono,500,6,5,0.001,0.1,-4.0,68.01
mono,500,6,5,0.001,0.1,-8.0,66.51
mono,500,6,5,0.001,0.1,-16.0,60.96
mono,500,6,5,0.001,0.0001,0.0,69.29
mono,500,6,5,0.001,0.0001,-2.0,70.23
mono,500,6,5,0.001,0.0001,-1.0,69.92
mono,500,6,5,0.001,0.0001,-4.0,70.38
mono,500,6,5,0.001,0.0001,-8.0,69.81
mono,500,6,5,0.001,0.0001,-16.0,66.23
mono,500,6,7,0.001,0.001,0.0,69.32
mono,500,6,7,0.001,0.001,-2.0,70.18
mono,500,6,7,0.001,0.001,-1.0,69.80
mono,500,6,7,0.001,0.001,-4.0,70.62
mono,500,6,7,0.001,0.001,-8.0,69.80
mono,500,6,7,0.001,0.001,-16.0,65.95
mono,500,6,7,0.001,0.002,0.0,69.15
mono,500,6,7,0.001,0.002,-2.0,70.08
mono,500,6,7,0.001,0.002,-1.0,69.84
mono,500,6,7,0.001,0.002,-4.0,70.62
mono,500,6,7,0.001,0.002,-8.0,69.66
mono,500,6,7,0.001,0.002,-16.0,65.97
mono,500,6,7,0.001,0.003,0.0,69.44
mono,500,6,7,0.001,0.003,-2.0,70.18
mono,500,6,7,0.001,0.003,-1.0,69.91
mono,500,6,7,0.001,0.003,-4.0,70.68
mono,500,6,7,0.001,0.003,-8.0,69.57
mono,500,6,7,0.001,0.003,-16.0,66.01
mono,500,6,7,0.001,0.01,0.0,69.61
mono,500,6,7,0.001,0.01,-2.0,70.40
mono,500,6,7,0.001,0.01,-1.0,70.12
mono,500,6,7,0.001,0.01,-4.0,70.74
mono,500,6,7,0.001,0.01,-8.0,70.12
mono,500,6,7,0.001,0.01,-16.0,66.32
mono,500,6,7,0.001,0.00001,0.0,69.35
mono,500,6,7,0.001,0.00001,-2.0,70.17
mono,500,6,7,0.001,0.00001,-1.0,69.89
mono,500,6,7,0.001,0.00001,-4.0,70.68
mono,500,6,7,0.001,0.00001,-8.0,69.92
mono,500,6,7,0.001,0.00001,-16.0,66.17
mono,500,6,7,0.001,0.1,0.0,66.89
mono,500,6,7,0.001,0.1,-2.0,67.76
mono,500,6,7,0.001,0.1,-1.0,67.45
mono,500,6,7,0.001,0.1,-4.0,67.59
mono,500,6,7,0.001,0.1,-8.0,66.18
mono,500,6,7,0.001,0.1,-16.0,61.58
mono,500,6,7,0.001,0.0001,0.0,69.20
mono,500,6,7,0.001,0.0001,-2.0,70.15
mono,500,6,7,0.001,0.0001,-1.0,69.84
mono,500,6,7,0.001,0.0001,-4.0,70.45
mono,500,6,7,0.001,0.0001,-8.0,69.87
mono,500,6,7,0.001,0.0001,-16.0,65.97
mono,500,6,9,0.001,0.001,0.0,69.32
mono,500,6,9,0.001,0.001,-2.0,70.42
mono,500,6,9,0.001,0.001,-1.0,70.01
mono,500,6,9,0.001,0.001,-4.0,70.77
mono,500,6,9,0.001,0.001,-8.0,70.21
mono,500,6,9,0.001,0.001,-16.0,66.97
mono,500,6,9,0.001,0.002,0.0,69.43
mono,500,6,9,0.001,0.002,-2.0,70.42
mono,500,6,9,0.001,0.002,-1.0,70.00
mono,500,6,9,0.001,0.002,-4.0,70.80
mono,500,6,9,0.001,0.002,-8.0,70.25
mono,500,6,9,0.001,0.002,-16.0,66.92
mono,500,6,9,0.001,0.003,0.0,69.41
mono,500,6,9,0.001,0.003,-2.0,70.55
mono,500,6,9,0.001,0.003,-1.0,70.28
mono,500,6,9,0.001,0.003,-4.0,70.71
mono,500,6,9,0.001,0.003,-8.0,70.37
mono,500,6,9,0.001,0.003,-16.0,67.09
mono,500,6,9,0.001,0.01,0.0,68.89
mono,500,6,9,0.001,0.01,-2.0,70.03
mono,500,6,9,0.001,0.01,-1.0,69.58
mono,500,6,9,0.001,0.01,-4.0,70.69
mono,500,6,9,0.001,0.01,-8.0,70.01
mono,500,6,9,0.001,0.01,-16.0,66.41
mono,500,6,9,0.001,0.00001,0.0,68.99
mono,500,6,9,0.001,0.00001,-2.0,70.31
mono,500,6,9,0.001,0.00001,-1.0,69.77
mono,500,6,9,0.001,0.00001,-4.0,71.20
mono,500,6,9,0.001,0.00001,-8.0,71.19
mono,500,6,9,0.001,0.00001,-16.0,67.73
mono,500,6,9,0.001,0.1,0.0,67.84
mono,500,6,9,0.001,0.1,-2.0,68.22
mono,500,6,9,0.001,0.1,-1.0,68.18
mono,500,6,9,0.001,0.1,-4.0,68.35
mono,500,6,9,0.001,0.1,-8.0,67.00
mono,500,6,9,0.001,0.1,-16.0,62.15
mono,500,6,9,0.001,0.0001,0.0,69.03
mono,500,6,9,0.001,0.0001,-2.0,70.31
mono,500,6,9,0.001,0.0001,-1.0,69.80
mono,500,6,9,0.001,0.0001,-4.0,71.23
mono,500,6,9,0.001,0.0001,-8.0,71.19
mono,500,6,9,0.001,0.0001,-16.0,67.77
mono,500,6,9,0.001,0.0005,0.0,69.27
mono,500,6,9,0.001,0.0005,-2.0,70.52
mono,500,6,9,0.001,0.0005,-1.0,69.95
mono,500,6,9,0.001,0.0005,-4.0,70.79
mono,500,6,9,0.001,0.0005,-8.0,70.21
mono,500,6,9,0.001,0.0005,-16.0,66.92
mono,500,6,9,0.001,0.005,0.0,69.26
mono,500,6,9,0.001,0.005,-2.0,70.34
mono,500,6,9,0.001,0.005,-1.0,69.92
mono,500,6,9,0.001,0.005,-4.0,70.91
mono,500,6,9,0.001,0.005,-8.0,70.66
mono,500,6,9,0.001,0.005,-16.0,67.12
